,id,title,author,genre,tag,platform,age,rate,complete,free,website
143,143,비 내리는 밤,"이상은, 최수현",로맨스,#로맨스#일편단심#썸#달달물#현대물,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/rainy_night
144,144,쿠로사키 말 따위 안 들을 거야,마키노,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/black_and_white_prince
145,145,웨딩 임파서블,"이청, 송정원",로맨스,#로맨스#소설원작#결혼#달달물#현대물,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/wedding_impossible
146,146,악랄한 솜사탕,"이태경, 이시현, 성수현",로맨스,#로맨스#재벌#걸크러쉬#츤데레,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/vicious_cottoncandy
147,147,헌터의 약혼자로 살아남기,"서하, 은나",로맨스,#판타지#로맨스#뱀파이어#걸크러쉬#기억상실,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/hunterlover
148,148,완전 귀여운 남자가 집에서 기다리고 있습니다 [연재],타카세 와카,로맨스,#성장물#달달물#일상#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/kawaisugiru_danshi
149,149,귀여운 사람,사이토 켄,로맨스,#일상#로맨스#힐링물#귀여움#달달물,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/kawaii_hito
150,150,나에게 꽃의 멜랑콜리,코모리 미코,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/melange_flowers
151,151,"선생님, xx라는 게 진짜예요?",와타세 하나,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/xx_teacher
152,152,스텔라를 위하여 [연재],"소화기, 나나소, 진수윤",로맨스,#판타지#로맨스#소꿉친구#짝사랑#삼각관계,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/for_stella
153,153,그와 사랑이라니,미모리 아오,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/love_with_him
154,154,하나노이 군과 상사병,모리노 메구미,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/hananoi
